clase	suite	sujetos
A	test-agent-store-auto-recall-limit.sh	agent_store.py
A	test-agent-store-buscar-tareas.sh	agent_store.py,deprecated.sh
A	test-agent-store-clasificar-documentos.sh	agent_store.py
A	test-agent-store-compara-antes-de-escribir.sh	agent_store.py,reconciliar_store.py,tipos_documentales.py
A	test-agent-store-fecha-apertura.sh	agent_store.py
A	test-agent-store-fecha-documento.sh	agent_store.py
A	test-agent-store-fts-degradation.sh	agent_store.py
A	test-agent-store-reassignment-guard.sh	agent_store.py,refrescar-tablero.sh
A	test-agent-store-render-tablero.sh	agent_store.py,check_rst_sintaxis.py,snapshot-tasks.sh
A	test-agent-store-sessions.sh	agent_store.py
A	test-agent-store-tareas.sh	agent_store.py
A	test-agent-store-type-source.sh	agent_store.py
A	test-agent-store-usage-columns.sh	agent_store.py,anonymize_transcript.py,costo-agente.sh
A	test-agent-store-usage-source.sh	agent_store.py,reconciliar_store.py
A	test-carrete-store.sh	agent_store.py,drenar_carrete.py
A	test-contrato-de-escotilla.sh	wait-jobs.sh
A	test-evidencia-varada.sh	evidencia-varada.sh
A	test-generator-determinism.sh	check_generator_determinism.py
A	test-gitattributes.sh	check_gitattributes.py
A	test-hook-error-log.sh	agent_store.py
A	test-hook-script-token.sh	check_hook_script_token.py,lint_agents.py
A	test-hooks-timeout.sh	check_hooks_timeout.py
A	test-implementation-order.sh	implementation_order.py,task_source.py
A	test-inject-auto-recall.sh	agent_store.py
A	test-markdown-to-rst.sh	check_rst_sintaxis.py,markdown_to_rst.py
A	test-model-catalog.sh	agent_store.py,model_catalog.py,tipos_documentales.py
A	test-reconciliar-agentes.sh	job_liveness.py,reconciliar-agentes.sh
A	test-reconciliar-store-journal.sh	reconciliar_store.py
A	test-reconciliar-store-status.sh	reconciliar_store.py
A	test-refrescar-tablero.sh	agent_store.py,check_script_deprecated.py,refrescar-tablero.sh,snapshot-tasks.sh
A	test-refresh-board.sh	agent_store.py,refresh-board.sh
A	test-register-agent-session.sh	agent_store.py,reconciliar_store.py
A	test-rst-validation-gate.sh	check_rst_sintaxis.py
A	test-run-task-pool.sh	run-task-pool.sh,wait-jobs.sh
A	test-script-deprecated.sh	check_script_deprecated.py,deprecated.py,deprecated.sh,reach_roots.py,snapshot-tasks.sh
A	test-script-naming.sh	check-hallazgo-sucesor.sh,check_rst_convenciones.py,check_script_naming.py,clasificar_agentes.py,esperar-marcador.sh,refrescar-tablero.sh,refresh-board.sh
