paquete                  tramos    nuevo    viejo archivos
agent                      6644     2439     2558      138
app-host                   1417      184      212       13
binary                      190        0        8        0
bridge                     2305        3       57        2
cli                        3384     2269     2319       91
command-runtime            1858     1123     1158       98
config                     4406     2139     2222       98
context-compression          61        0        0        0
daemon                      673       27       37        2
headless-sdk                215       75       79        6
ide                         671        1        8        1
local-observability         655        0       16        0
mcp-runtime                1526      929      955       27
memory                      524       14       31        4
observability               113        0        2        0
output                      781      396      409       36
permission                 2409        1       38        1
plan                         16        0        1        0
provider                   3534     1734     1801      158
server                      301        0        3        0
shell                      4710     2928     3027       36
skills                       64        0        0        0
storage                    1938      456      499       43
swarm                      1660      109      120       13
teleport                    107        1        7        1
tool-registry              8990     5820     5977      217
tools                       200        0        3        0
updater                     601       20       29        4
voice                       401        0        5        0
__BG_EXIT__=0
