  460 archivos con comentario  agent
  323 archivos con comentario  tool-registry
  280 archivos con comentario  provider
  270 archivos con comentario  headless-sdk
  201 archivos con comentario  config
  150 archivos con comentario  command-runtime
  144 archivos con comentario  permission
  142 archivos con comentario  cli
  124 archivos con comentario  storage
   95 archivos con comentario  shell
   84 archivos con comentario  swarm
   80 archivos con comentario  bridge
   78 archivos con comentario  app-host
   67 archivos con comentario  output
   66 archivos con comentario  mcp-runtime
   63 archivos con comentario  local-observability
   55 archivos con comentario  ide
   43 archivos con comentario  daemon
   38 archivos con comentario  memory
   25 archivos con comentario  updater
   23 archivos con comentario  server
   14 archivos con comentario  voice
   12 archivos con comentario  teleport
