roughTokenCountEstimationForMessages	-
getOrCreateUserID	-
getAutoModeConfig	-
AgentDefinition	-
ExtraKnownMarketplaceSchema	-
getFileReadIgnorePatterns	-
normalizePatternsToPath	-
YoloClassifierResult	-
HookProgress	-
ToolPermissionRulesBySource	-
Attachment	-
createAttachmentMessage	-
suppressNextSkillListing	-
getAllSocketPaths	-
getSecureSocketPath	-
getEffortSuffix	-
extractToolInputForTelemetry	-
EMPTY_LOOKUPS	-
buildMessageLookups	-
buildSubagentLookups	-
filterOrphanedThinkingOnlyMessages	-
filterWhitespaceOnlyAssistantMessages	-
stripSignatureBlocks	-
withMemoryCorrectionHint	-
DEFAULT_AGENT_PROMPT	-
enhanceSystemPromptWithEnvDetails	-
getSystemPrompt	-
resetTaskList	-
countTokensWithAPI	-
isToolSearchEnabledOptimistic	-
isToolSearchToolAvailable	-
activateConditionalSkillsForPaths	-
addSkillDirectories	-
discoverSkillDirsForPaths	-
formatAutoUpdaterDisabledReason	-
getAutoUpdaterDisabledReason	-
getManagedFileSettingsPresence	-
getPolicySettingsOrigin	-
checkReadPermissionForTool	-
checkWritePermissionForTool	-
matchingRuleForInput	-
validatePath	-
checkRuleBasedPermissions	-
createPermissionRequestMessage	-
writeToStderr	-
getMemoryFiles	-
compactConversation	-
createPlanAttachmentIfNeeded	-
setAwaitingPlanApproval	-
normalizeMessagesForAPI	-
SYSTEM_PROMPT_DYNAMIC_BOUNDARY	_references/restored-src/src/constants/prompts.ts
getRemoteControlAtStartup	-
clearMemoryFileCaches	-
resetGetMemoryFilesCache	-
getAttachmentMessages	-
resetSentSkillNames	-
openInChrome	-
getAllBrowserDataPaths	-
getAllNativeMessagingHostsDirs	-
getAllWindowsRegistryKeys	-
openInChrome	-
getModelMaxOutputTokens	-
getDefaultEffortForModel	-
getDisplayedEffortLevel	-
getEffortValueDescription	-
modelSupportsEffort	-
resolvePickerEffortPersistence	-
EMPTY_STRING_SET	-
StreamingThinking	-
StreamingToolUse	-
getAssistantMessageText	-
getMessagesAfterCompactBoundary	-
getProgressMessagesFromLookup	-
getSiblingToolUseIDsFromLookup	-
getToolUseIDs	-
hasUnresolvedHooksFromLookup	-
isSystemLocalCommandMessage	-
reorderMessagesInUI	-
shouldShowUserMessage	-
renderableSearchText	-
clearDynamicSkills	-
clearSkillCaches	-
getDynamicSkills	-
getSkillDirCommands	-
getMemoryPath	-
shouldSkipPluginAutoupdate	-
ScopedLspServerConfig	-
getBundledSkillsRoot	-
deletePermissionRule	-
hasPermissionsToUseTool	-
formatCost	-
ExternalClaudeMdInclude	-
getExternalClaudeMdIncludes	-
hasExternalClaudeMdIncludes	-
