Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1790221258.443	     0.037	0	309	0	0	bun .claude/workbench/frontera-publica-de-paquetes-20260924T023459/probes/cierre-de-importaciones.ts src/packages/agent/__tests__/models.test.ts | gawk -v t=src/packages/agent/__tests__/models.test.ts "{print t\"\t\"\$0}"
4	:	1790221258.457	     0.045	0	240	0	0	bun .claude/workbench/frontera-publica-de-paquetes-20260924T023459/probes/cierre-de-importaciones.ts src/packages/binary/__tests__/bunfs.test.ts | gawk -v t=src/packages/binary/__tests__/bunfs.test.ts "{print t\"\t\"\$0}"
5	:	1790221258.489	     0.036	0	168	0	0	bun .claude/workbench/frontera-publica-de-paquetes-20260924T023459/probes/cierre-de-importaciones.ts src/packages/cli/src/__tests__/installOAuthTokensEnvFdCoordination.behavior.test.ts | gawk -v t=src/packages/cli/src/__tests__/installOAuthTokensEnvFdCoordination.behavior.test.ts "{print t\"\t\"\$0}"
2	:	1790221258.446	     0.082	0	21731	0	0	bun .claude/workbench/frontera-publica-de-paquetes-20260924T023459/probes/cierre-de-importaciones.ts src/packages/agent/background/fleet/__tests__/replBridgeSeed.test.ts | gawk -v t=src/packages/agent/background/fleet/__tests__/replBridgeSeed.test.ts "{print t\"\t\"\$0}"
6	:	1790221258.505	     0.039	0	1545	0	0	bun .claude/workbench/frontera-publica-de-paquetes-20260924T023459/probes/cierre-de-importaciones.ts src/packages/config/__tests__/pluginIdentifier.test.ts | gawk -v t=src/packages/config/__tests__/pluginIdentifier.test.ts "{print t\"\t\"\$0}"
7	:	1790221258.529	     0.029	0	220	0	0	bun .claude/workbench/frontera-publica-de-paquetes-20260924T023459/probes/cierre-de-importaciones.ts src/packages/output/src/__tests__/modifiers.behavior.test.ts | gawk -v t=src/packages/output/src/__tests__/modifiers.behavior.test.ts "{print t\"\t\"\$0}"
8	:	1790221258.533	     0.030	0	152	0	0	bun .claude/workbench/frontera-publica-de-paquetes-20260924T023459/probes/cierre-de-importaciones.ts src/packages/permission/src/__tests__/automodeAntAlignment.contract.test.ts | gawk -v t=src/packages/permission/src/__tests__/automodeAntAlignment.contract.test.ts "{print t\"\t\"\$0}"
9	:	1790221258.552	     0.027	0	268	0	0	bun .claude/workbench/frontera-publica-de-paquetes-20260924T023459/probes/cierre-de-importaciones.ts src/packages/permission/src/__tests__/bashClassifierStub.behavior.test.ts | gawk -v t=src/packages/permission/src/__tests__/bashClassifierStub.behavior.test.ts "{print t\"\t\"\$0}"
10	:	1790221258.564	     0.073	0	27409	0	0	bun .claude/workbench/frontera-publica-de-paquetes-20260924T023459/probes/cierre-de-importaciones.ts src/packages/permission/src/__tests__/classifierOperatorModel.contract.test.ts | gawk -v t=src/packages/permission/src/__tests__/classifierOperatorModel.contract.test.ts "{print t\"\t\"\$0}"
12	:	1790221258.586	     0.118	0	39838	0	0	bun .claude/workbench/frontera-publica-de-paquetes-20260924T023459/probes/cierre-de-importaciones.ts src/packages/permission/src/__tests__/isAutoModeAllowlistedTool.test.ts | gawk -v t=src/packages/permission/src/__tests__/isAutoModeAllowlistedTool.test.ts "{print t\"\t\"\$0}"
11	:	1790221258.571	     0.138	0	36212	0	0	bun .claude/workbench/frontera-publica-de-paquetes-20260924T023459/probes/cierre-de-importaciones.ts src/packages/permission/src/__tests__/classifierTranscriptMeta.test.ts | gawk -v t=src/packages/permission/src/__tests__/classifierTranscriptMeta.test.ts "{print t\"\t\"\$0}"
