@ant/claude-for-chrome-mcp	.
@ant/computer-use-input	.
@ant/computer-use-mcp	.
@ant/computer-use-mcp	./legacy/cleanup.js
@ant/computer-use-mcp	./legacy/common.js
@ant/computer-use-mcp	./legacy/gates.js
@ant/computer-use-mcp	./legacy/mcpServer.js
@ant/computer-use-mcp	./legacy/setup.js
@ant/computer-use-mcp	./legacy/win32/windowCapture.js
@ant/computer-use-mcp	./legacy/win32/windowEnum.js
@ant/computer-use-mcp	./legacy/wrapper.js
@ant/computer-use-mcp	./sentinelApps
@ant/computer-use-mcp	./types
@ant/computer-use-swift	.
@anthropic/ink	.
@anthropic/ink	./keybindings
@anthropic/ink	./search
@anthropic/ink	./vim
@thyrox/agent	.
@thyrox/agent	./abortController
@thyrox/agent	./agentIdUtils
@thyrox/agent	./claudeInChrome/toolRendering.js
@thyrox/agent	./combinedAbortSignal
@thyrox/agent	./commitAttribution
@thyrox/agent	./compaction
@thyrox/agent	./contentArray
@thyrox/agent	./coordinatorMode
@thyrox/agent	./emit/agentsJson
@thyrox/agent	./emit/markdown
@thyrox/agent	./errors
@thyrox/agent	./eventMetadata
@thyrox/agent	./file-history
@thyrox/agent	./frontmatterParser
@thyrox/agent	./idTypes
@thyrox/agent	./internal/tokenBudget
@thyrox/agent	./localAgentTask.js
@thyrox/agent	./loop
@thyrox/agent	./loop/hooks
@thyrox/agent	./loop/session
@thyrox/agent	./loop/session/reconcile
@thyrox/agent	./loop/sessions
@thyrox/agent	./loop/sessions/modelSwitch
@thyrox/agent	./loop/transcript
@thyrox/agent	./loop/types
@thyrox/agent	./models
@thyrox/agent	./proactive
@thyrox/agent	./promptCategory
@thyrox/agent	./registry
@thyrox/agent	./sanitizePathComponent
@thyrox/agent	./schema
@thyrox/agent	./services/mcpServerApproval.js
@thyrox/agent	./sessionStores
@thyrox/agent	./statusAlias.js
@thyrox/agent	./taggedId
@thyrox/agent	./tasks/LocalMainSessionTask.js
@thyrox/agent	./tasks/LocalShellTask.js
@thyrox/agent	./tee
@thyrox/agent	./types
@thyrox/agent	./uuid
@thyrox/agent	./yaml
@thyrox/audio-capture-napi	.
@thyrox/app-host	.
@thyrox/app-host	./activityManager.js
@thyrox/app-host	./cliArgs.js
@thyrox/app-host	./context/QueuedMessageContext.js
@thyrox/app-host	./context/fpsMetrics
@thyrox/app-host	./context/fpsMetrics.js
@thyrox/app-host	./context/mailbox
@thyrox/app-host	./context/mailbox.js
@thyrox/app-host	./context/notifications
@thyrox/app-host	./context/notifications.js
@thyrox/app-host	./context/stats
@thyrox/app-host	./context/stats.js
@thyrox/app-host	./contracts
@thyrox/app-host	./launchRepl
@thyrox/app-host	./launchRepl.js
@thyrox/app-host	./state/AppState
@thyrox/app-host	./state/AppState.js
@thyrox/app-host	./state/AppStateStore.js
@thyrox/app-host	./state/hostSessionState.js
@thyrox/app-host	./state/mcpSelectors.js
@thyrox/app-host	./state/permissionSelectors.js
@thyrox/app-host	./state/pluginSelectors.js
@thyrox/app-host	./state/selectors.js
@thyrox/app-host	./state/sessionSelectors.js
@thyrox/app-host	./state/store.js
@thyrox/app-host	./state/taskSelectors.js
@thyrox/app-host	./state/teamSelectors.js
@thyrox/app-host	./state/uiSelectors.js
@thyrox/binary	.
@thyrox/binary	./bunfs
@thyrox/binary	./elf
@thyrox/bridge	.
@thyrox/bridge	./commands/bridge-kick.js
@thyrox/bridge	./contracts
@thyrox/bridge	./errors
@thyrox/bridge	./testing
@thyrox/cli	.
@thyrox/cli	./argv.js
@thyrox/cli	./bg/daemonAdapter.js
@thyrox/cli	./bg/fleetReplyHelpers.js
@thyrox/cli	./bg/openAgentsFromRepl.js
@thyrox/cli	./bg/ptyFrame.js
@thyrox/cli	./commands/version.js
@thyrox/cli	./entry/detect-mode
@thyrox/cli	./entry/main
@thyrox/cli	./entry/mode-dispatch
@thyrox/cli	./exitCodes.js
@thyrox/cli	./print
@thyrox/cli	./render
@thyrox/cli	./resume
@thyrox/cli	./secureStorage/keychainPrefetch
@thyrox/cli	./structuredIOHelper
@thyrox/cli	./testing/impact
@thyrox/cli	./testing/io
@thyrox/color-diff-napi	.
@thyrox/command-runtime	.
@thyrox/command-runtime	./commands/clear
@thyrox/command-runtime	./commands/compact
@thyrox/command-runtime	./commands/cost
@thyrox/command-runtime	./commands/extra-usage/extra-usage.js
@thyrox/command-runtime	./commands/fast/fast.js
@thyrox/command-runtime	./commands/fork/fork.js
@thyrox/command-runtime	./commands/goal
@thyrox/command-runtime	./commands/install/install.js
@thyrox/command-runtime	./commands/plugin/index.js
@thyrox/command-runtime	./commands/plugin/parseArgs.js
@thyrox/command-runtime	./commands/powerup/PowerupBanner.js
@thyrox/command-runtime	./commands/recap
@thyrox/command-runtime	./commands/rename
@thyrox/command-runtime	./commands/review/ultrareviewEnabled.js
@thyrox/command-runtime	./commands/status
@thyrox/command-runtime	./commands/voice
@thyrox/command-runtime	./commands/workflows
@thyrox/command-runtime	./createMovedToPluginCommand.js
@thyrox/command-runtime	./promptShellExecution.js
@thyrox/command-runtime	./skills/loadSkillsDir.js
@thyrox/command-runtime	./testing
@thyrox/command-runtime	./xml.js
@thyrox/config	.
@thyrox/config	./applySettingsChange
@thyrox/config	./changeDetector
@thyrox/config	./constants
@thyrox/config	./env
@thyrox/config	./env/utils
@thyrox/config	./lazySchema
@thyrox/config	./lazySchema.js
@thyrox/config	./load
@thyrox/config	./managedPath
@thyrox/config	./plugin/core/performStartupChecks.js
@thyrox/config	./pluginOnlyPolicy
@thyrox/config	./remote
@thyrox/config	./settings
@thyrox/config	./sync
@thyrox/config	./testing
@thyrox/config	./types
@thyrox/config	./validation
@thyrox/context-compression	.
@thyrox/context-compression	./lite
@thyrox/context-compression	./lite.js
@thyrox/context-compression	./rtk
@thyrox/context-compression	./rtk.js
@thyrox/context-compression	./rtk/commandDetector
@thyrox/context-compression	./rtk/filters/buildTypescript
@thyrox/context-compression	./rtk/filters/genericOutput
@thyrox/context-compression	./rtk/filters/gitDiff
@thyrox/context-compression	./rtk/filters/gitLog
@thyrox/context-compression	./rtk/filters/gitStatus
@thyrox/context-compression	./rtk/filters/testBun
@thyrox/context-compression	./rtk/filters/testPytest
@thyrox/context-compression	./rtk/lineFilter
@thyrox/context-compression	./rtk/smartTruncate
@thyrox/context-compression	./rtk/types
@thyrox/daemon	.
@thyrox/daemon	./contracts
@thyrox/daemon	./errors
@thyrox/daemon	./testing
@thyrox/headless-sdk	.
@thyrox/headless-sdk	./agentSdkTypes.js
@thyrox/headless-sdk	./contracts
@thyrox/headless-sdk	./controlMessageCompat
@thyrox/headless-sdk	./controlSchemas.js
@thyrox/headless-sdk	./controlTypes.js
@thyrox/headless-sdk	./coreSchemas.js
@thyrox/headless-sdk	./coreTypes.js
@thyrox/headless-sdk	./runtimeTypes.js
@thyrox/headless-sdk	./sdkMemorySummary.js
@thyrox/headless-sdk	./sdkUtilityTypes.js
@thyrox/headless-sdk	./testing
@thyrox/ide	.
@thyrox/ide	./contracts
@thyrox/ide	./errors
@thyrox/ide	./hooks/useIDEIntegration
@thyrox/ide	./hooks/useIDEIntegration.js
@thyrox/ide	./ide.js
@thyrox/ide	./testing
@thyrox/image-processor-napi	.
@thyrox/mcp-runtime	./InProcessTransport
@thyrox/mcp-runtime	./MCPConnectionManager.js
@thyrox/mcp-runtime	./SdkControlTransport
@thyrox/mcp-runtime	./api
@thyrox/mcp-runtime	./appStateHooks
