Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1790221390.362	     0.417	0	33	0	0	f=tests/lib/test-toolchain-sh.sh; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/lib/test-toolchain-sh.sh).log 2>&1; echo "$? tests/lib/test-toolchain-sh.sh"
5	:	1790221390.789	     0.134	0	40	0	0	f=tests/session/test_session_restart.py; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/session/test_session_restart.py).log 2>&1; echo "$? tests/session/test_session_restart.py"
1	:	1790221390.358	     0.611	0	41	0	0	f=tests/corpus/test_censo_contraparte.py; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/corpus/test_censo_contraparte.py).log 2>&1; echo "$? tests/corpus/test_censo_contraparte.py"
3	:	1790221390.367	     0.699	0	33	0	0	f=tests/lib/test-workbench-sh.sh; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/lib/test-workbench-sh.sh).log 2>&1; echo "$? tests/lib/test-workbench-sh.sh"
8	:	1790221391.075	     1.187	0	37	0	0	f=tests/verify/test-gitattributes.sh; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/verify/test-gitattributes.sh).log 2>&1; echo "$? tests/verify/test-gitattributes.sh"
6	:	1790221390.929	     1.956	0	42	0	0	f=tests/task/test-implementation-order.sh; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/task/test-implementation-order.sh).log 2>&1; echo "$? tests/task/test-implementation-order.sh"
10	:	1790221392.894	     0.750	0	37	0	0	f=tests/verify/test-premise-drift.sh; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/verify/test-premise-drift.sh).log 2>&1; echo "$? tests/verify/test-premise-drift.sh"
9	:	1790221392.271	     1.490	0	41	0	0	f=tests/verify/test-hook-script-token.sh; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/verify/test-hook-script-token.sh).log 2>&1; echo "$? tests/verify/test-hook-script-token.sh"
12	:	1790221393.765	     1.016	0	41	0	0	f=tests/verify/test-verificar-premisa.sh; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/verify/test-verificar-premisa.sh).log 2>&1; echo "$? tests/verify/test-verificar-premisa.sh"
4	:	1790221390.370	    13.100	0	37	0	0	f=tests/session/test_generate_bin.py; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/session/test_generate_bin.py).log 2>&1; echo "$? tests/session/test_generate_bin.py"
13	:	1790221394.789	    23.411	0	41	0	0	f=tests/verify/test_env_contract_keys.py; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/verify/test_env_contract_keys.py).log 2>&1; echo "$? tests/verify/test_env_contract_keys.py"
15	:	1790221418.205	     3.660	0	39	0	0	f=tests/verify/test_path_arithmetic.py; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/verify/test_path_arithmetic.py).log 2>&1; echo "$? tests/verify/test_path_arithmetic.py"
7	:	1790221390.974	    30.900	0	36	0	0	f=tests/verify/test-eventos-hook.sh; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/verify/test-eventos-hook.sh).log 2>&1; echo "$? tests/verify/test-eventos-hook.sh"
16	:	1790221421.873	     2.394	0	39	0	0	f=tests/verify/test_pre_commit_hook.py; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/verify/test_pre_commit_hook.py).log 2>&1; echo "$? tests/verify/test_pre_commit_hook.py"
11	:	1790221393.650	    32.971	0	37	0	0	f=tests/verify/test-script-naming.sh; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/verify/test-script-naming.sh).log 2>&1; echo "$? tests/verify/test-script-naming.sh"
14	:	1790221403.474	    57.519	0	47	0	0	f=tests/verify/test_package_root_resolution.sh; case $f in *.py) timeout 300 .venv/bin/python $f;; *) timeout 300 bash $f;; esac > .claude/workbench/frontera-publica-de-paquetes-20260924T023459/outputs/pysh/$(basename tests/verify/test_package_root_resolution.sh).log 2>&1; echo "$? tests/verify/test_package_root_resolution.sh"
