codigo	antes	despues	delta
TS1064	1	1	0
TS1230	1	1	0
TS1354	1	1	0
TS1360	13	13	0
TS18046	559	1252	693
TS18047	6	9	3
TS18048	236	272	36
TS2304	1	1	0
TS2305	770	1167	397
TS2307	711	1159	448
TS2315	4	6	2
TS2322	201	401	200
TS2328	1	1	0
TS2339	314	477	163
TS2344	6	23	17
TS2345	401	581	180
TS2349	41	40	-1
TS2352	29	29	0
TS2353	24	27	3
TS2355	1	1	0
TS2366	4	10	6
TS2367	3	15	12
TS2416	5	5	0
TS2459	2	3	1
TS2464	0	1	1
TS2488	5	6	1
TS2493	8	8	0
TS2504	1	1	0
TS2532	163	163	0
TS2536	1	1	0
TS2538	9	13	4
TS2551	4	5	1
TS2552	0	1	1
TS2554	72	79	7
TS2556	2	2	0
TS2558	1	1	0
TS2559	2	2	0
TS2571	13	28	15
TS2578	4	16	12
TS2614	0	2	2
TS2638	3	3	0
TS2677	2	2	0
TS2678	1	1	0
TS2693	2	2	0
TS2694	1	1	0
TS2698	80	196	116
TS2703	10	10	0
TS2722	5	5	0
TS2724	31	63	32
TS2739	4	4	0
TS2740	4	5	1
TS2741	16	18	2
TS2769	68	72	4
TS2783	2	2	0
TS6133	264	420	156
TS6138	1	1	0
TS6142	320	0	-320
TS6192	9	10	1
TS6196	61	64	3
TS7006	512	775	263
TS7016	75	38	-37
TS7019	1	1	0
TS7022	1	1	0
TS7031	22	22	0
TS7053	41	52	11
