simbolo	minificado	bytes
HookOutsideReplResult	-	0
HookResult	-	0
createBaseHookInput	_l	583
executeConfigChangeHooks	-	0
executeCwdChangedHooks	T4n	23
executeFileChangedHooks	C4n	23
executeFileSuggestionCommand	F4n	586
executeNotificationHooks	ux	64
executePermissionDeniedHooks	FKn	369
executePermissionRequestHooks	rke	333
executePostToolBatchHooks	T1t	333
executePostToolHooks	A1t	375
executePostToolUseFailureHooks	$Kn	407
executePreCompactHooks	Tse	1187
executePreToolHooks	RLe	1030
executeSessionEndHooks	i6e	493
executeStatusLineCommand	Mpn	1034
executeSubagentStartHooks	wpn	332
executeTaskCompletedHooks	Jdt	273
executeTaskCreatedHooks	Epn	271
executeUserPromptExpansionHooks	-	0
executeUserPromptSubmitHooks	zLe	31
executeWorktreeCreateHook	fUt	50
executeWorktreeRemoveHook	Tpn	50
getPreToolHookBlockingMessage	-	0
getSessionEndHookTimeoutMs	Rse	281
getStopHookMessage	tpt	51
getTaskCompletedHookMessage	gUt	60
getTaskCreatedHookMessage	L4n	58
getTeammateIdleHookMessage	D4n	59
getUserPromptSubmitHookBlockingMessage	Mfe	87
hasBlockingResult	N4n	46
hasWorktreeCreateHook	-	0
executeHooks	tv	209
executeHooksOutsideREPL	sT	7474
hookMatcherMatches	y$r	161
parseHookOutput	ept	1959945
shouldSkipHookDueToTrust	YQ	26
hasHookForEvent	Uk	45
getSessionEndHookDefaultTimeoutMs	g$r	69
SESSION_END_HOOK_TIMEOUT_MS_DEFAULT	m$r	81
