Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1790220576.621	    35.562	0	55	0	0	bash /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/probes/extraer-conceptos.sh 6s191/lecture03/lecture03-notes.tex /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/conceptos
4	:	1790220576.625	    45.209	0	56	0	0	bash /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/probes/extraer-conceptos.sh 6s191/lecture04/lecture04-notes.tex /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/conceptos
6	:	1790220576.635	    47.703	0	55	0	0	bash /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/probes/extraer-conceptos.sh 6s191/lecture06/lecture06-notes.tex /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/conceptos
1	:	1790220576.613	    60.368	0	56	0	0	bash /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/probes/extraer-conceptos.sh 6s191/lecture01/lecture01-notes.tex /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/conceptos
5	:	1790220576.631	    79.868	0	56	0	0	bash /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/probes/extraer-conceptos.sh 6s191/lecture05/lecture05-notes.tex /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/conceptos
9	:	1790220624.343	    49.676	0	56	0	0	bash /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/probes/extraer-conceptos.sh 6s191/lecture09/lecture09-notes.tex /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/conceptos
10	:	1790220636.986	    39.105	0	56	0	0	bash /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/probes/extraer-conceptos.sh 6s191/lecture10/lecture10-notes.tex /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/conceptos
7	:	1790220612.188	    72.140	0	56	0	0	bash /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/probes/extraer-conceptos.sh 6s191/lecture07/lecture07-notes.tex /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/conceptos
2	:	1790220576.617	   114.780	0	56	0	0	bash /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/probes/extraer-conceptos.sh 6s191/lecture02/lecture02-notes.tex /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/conceptos
13	:	1790220676.097	    17.381	0	60	0	0	bash /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/probes/extraer-conceptos.sh agentic-rl/lecture03/lecture03-notes.tex /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/conceptos
