Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1790224980.505	    15.020	0	0	0	0	_headless_item 2 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/6s191_lecture03_lecture03.jsonl
5	:	1790224980.518	    16.040	0	0	0	0	_headless_item 5 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/6s191_lecture06_lecture06.jsonl
3	:	1790224980.507	    25.707	0	0	0	0	_headless_item 3 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/6s191_lecture04_lecture04.jsonl
1	:	1790224980.501	    27.694	0	0	0	0	_headless_item 1 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/6s191_lecture02_lecture02.jsonl
4	:	1790224980.514	    30.401	0	0	0	0	_headless_item 4 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/6s191_lecture05_lecture05.jsonl
10	:	1790225008.200	    32.191	0	0	0	0	_headless_item 10 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/agentic-rl_lecture01_lecture01.jsonl
11	:	1790225010.919	    32.323	0	0	0	0	_headless_item 11 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/agentic-rl_lecture02_lecture02.jsonl
9	:	1790225006.219	    45.454	0	0	0	0	_headless_item 9 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/6s191_lecture10_lecture10.jsonl
13	:	1790225043.247	    16.986	0	0	0	0	_headless_item 13 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/agentic-rl_lecture04_lecture04.jsonl
12	:	1790225040.397	    23.401	0	0	0	0	_headless_item 12 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/agentic-rl_lecture03_lecture03.jsonl
8	:	1790224996.562	    77.013	0	0	0	0	_headless_item 8 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/6s191_lecture09_lecture09.jsonl
6	:	1790224980.523	    95.834	0	0	0	0	_headless_item 6 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/6s191_lecture07_lecture07.jsonl
15	:	1790225060.239	    23.552	0	0	0	0	_headless_item 15 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/agentic-rl_lecture06_lecture06.jsonl
7	:	1790224995.531	    99.342	0	0	0	0	_headless_item 7 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/6s191_lecture08_lecture08.jsonl
17	:	1790225073.580	    28.588	0	0	0	0	_headless_item 17 /home/user/thyrox/.claude/workbench/notas-ai-course-aplicables-a-thyrox-20260924T030740/outputs/mapeo/entrada/agentic-rl_lecture09_lecture09.jsonl
