ConfigChangeSource	src/packages/config/settings/changeDetector.ts 
ElicitationHookResult	AUSENTE
ElicitationResponse	AUSENTE
ElicitationResultHookResult	AUSENTE
FunctionHookMatcher	src/packages/agent/hooks/sessionHooks.ts 
IfConditionMatcher	AUSENTE
InstructionsLoadReason	AUSENTE
InstructionsMemoryType	AUSENTE
MatchedHook	AUSENTE
TOOL_HOOK_EXECUTION_TIMEOUT_MS	AUSENTE
TypedSyncHookOutput	AUSENTE
execCommandHook	AUSENTE
executeElicitationHooks	AUSENTE
executeElicitationResultHooks	AUSENTE
executeEnvHooks	AUSENTE
executeFunctionHook	AUSENTE
executeHookCallback	AUSENTE
executeInBackground	AUSENTE
executeInstructionsLoadedHooks	AUSENTE
executeSessionStartHooks	AUSENTE
executeSetupHooks	AUSENTE
executeStopFailureHooks	src/packages/agent/internal/queryRuntime.ts 
executeStopHooks	AUSENTE
executeTeammateIdleHooks	AUSENTE
getHookDefinitionsForTelemetry	AUSENTE
getHookTypeCounts	AUSENTE
getHooksConfig	AUSENTE
getMatchingHooks	AUSENTE
getPluginHookCounts	AUSENTE
hasInstructionsLoadedHook	AUSENTE
hookDedupKey	AUSENTE
isInternalHook	AUSENTE
matchesPattern	AUSENTE
parseElicitationHookOutput	AUSENTE
parseHookOutput	AUSENTE
parseHttpHookOutput	AUSENTE
prepareIfConditionMatcher	AUSENTE
processHookJSONOutput	AUSENTE
shouldSkipHookDueToTrust	AUSENTE
validateHookJson	AUSENTE
