Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1790214923.581	     0.176	0	295	1	0	correr tests/lib/test-toolchain-sh.sh
3	:	1790214923.576	     0.189	0	677	1	0	correr tests/lib/test-node-resolution.sh
5	:	1790214923.762	     0.095	0	894	1	0	correr tests/lib/test-workbench-sh.sh
1	:	1790214923.571	     0.403	0	1845	1	0	correr tests/corpus/test_censo_contraparte.py
7	:	1790214923.862	     0.190	0	1975	1	0	correr tests/session/test_session_restart.py
9	:	1790214924.057	     0.088	0	371	1	0	correr tests/verify/test-cross-model-read.sh
2	:	1790214923.573	     1.460	0	495	1	0	correr tests/hooks/test-bridge-hooks.sh
8	:	1790214923.979	     1.108	0	1802	1	0	correr tests/task/test-implementation-order.sh
11	:	1790214925.038	     1.049	0	49	1	0	correr tests/verify/test-gitattributes.sh
12	:	1790214925.093	     1.253	0	53	1	0	correr tests/verify/test-hook-script-token.sh
13	:	1790214926.093	     0.654	0	1515	1	0	correr tests/verify/test-premise-drift.sh
15	:	1790214926.752	     0.914	0	2242	1	0	correr tests/verify/test-verificar-premisa.sh
6	:	1790214923.768	     4.551	0	185	0	0	correr tests/measurement/test_rejection_sampling_brief.py
17	:	1790214928.326	     3.463	0	4673	1	0	correr tests/verify/test_path_arithmetic.py
18	:	1790214931.795	     2.445	0	0	1	0	correr tests/verify/test_pre_commit_hook.py
10	:	1790214924.150	    30.935	0	494	1	0	correr tests/verify/test-eventos-hook.sh
14	:	1790214926.351	    32.000	0	1573	1	0	correr tests/verify/test-script-naming.sh
16	:	1790214927.671	   110.575	0	505	1	0	correr tests/verify/test_package_root_resolution.sh
