Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1790216430.328	     0.132	0	28	0	0	timeout 300 bun test 'src/packages/@ant/ink/src/__tests__/vimTypes.behavior.test.ts'
2	:	1790216430.323	     0.157	0	28	0	0	timeout 300 bun test 'src/packages/@ant/ink/src/__tests__/vimMotions.behavior.test.ts'
4	:	1790216430.337	     0.163	0	28	0	0	timeout 300 bun test 'src/packages/@ant/ink/src/core/__tests__/parse-keypress-mouse-fragments.test.ts'
5	:	1790216430.473	     0.129	0	28	0	0	timeout 300 bun test 'src/packages/@ant/ink/src/core/__tests__/shift-letter-extended-keys.test.ts'
6	:	1790216430.493	     0.134	0	28	0	0	timeout 300 bun test 'src/packages/@ant/ink/src/core/termio/__tests__/tokenize.test.ts'
1	:	1790216430.320	     0.312	0	28	0	0	timeout 300 bun test 'src/packages/@ant/ink/src/__tests__/ui-foundation.test.ts'
7	:	1790216430.505	     0.148	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/AgentCore.test.ts
8	:	1790216430.612	     0.118	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/AgentLoop.test.ts
9	:	1790216430.631	     0.105	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/abort.test.ts
10	:	1790216430.636	     0.113	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/abortController.test.ts
11	:	1790216430.656	     0.117	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/agentContextGuards.test.ts
12	:	1790216430.735	     0.114	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/agentErrors.test.ts
13	:	1790216430.744	     0.125	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/agentIdUtils.test.ts
15	:	1790216430.776	     0.108	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/apiMicrocompact.test.ts
14	:	1790216430.756	     0.134	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/agentSwarmsEnabled.test.ts
16	:	1790216430.852	     0.115	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/attachmentConfig.behavior.test.ts
19	:	1790216430.895	     0.118	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/attributionMetadata.test.ts
18	:	1790216430.889	     0.128	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/attribution.test.ts
21	:	1790216431.017	     0.157	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/autocompact.test.ts
22	:	1790216431.023	     0.178	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/basePrompt.test.ts
24	:	1790216431.209	     0.153	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/cacheRoutes.test.ts
23	:	1790216431.185	     0.304	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/blockTaskAndCascade.test.ts
25	:	1790216431.368	     0.155	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/cacheTtl.test.ts
20	:	1790216430.973	     0.628	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/attributionSnapshotHelpers.test.ts
26	:	1790216431.494	     0.118	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/cachedMCConfig.test.ts
27	:	1790216431.530	     0.108	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/cachedMicrocompact.test.ts
17	:	1790216430.874	     0.815	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/attachments.test.ts
28	:	1790216431.607	     0.126	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/catalogCoverage.test.ts
30	:	1790216431.642	     0.123	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/claudeInChromeCommon.test.ts
33	:	1790216431.776	     0.150	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/compactUtils.test.ts
31	:	1790216431.693	     0.253	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/combinedAbortSignal.test.ts
34	:	1790216431.941	     0.171	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/compactWarningState.test.ts
35	:	1790216431.956	     0.159	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/compactionFidelity.test.ts
36	:	1790216432.119	     0.147	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/compactionGrouping.test.ts
37	:	1790216432.127	     0.157	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/compactionIndex.test.ts
29	:	1790216431.621	     0.705	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/causalChain.test.ts
39	:	1790216432.289	     0.111	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/compactionSnipProjection.test.ts
38	:	1790216432.285	     0.134	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/compactionPrompt.test.ts
32	:	1790216431.737	     0.732	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/commitAttributionTracking.test.ts
42	:	1790216432.426	     0.127	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/contentArray.test.ts
43	:	1790216432.472	     0.377	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/contentTextHelpers.test.ts
41	:	1790216432.405	     0.773	0	28	0	0	timeout 300 bun test src/packages/agent/__tests__/computeContentHash.test.ts
