Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1790221762.903	     0.077	0	46	0	0	case tests/agents/test_task_status_vocabulary.py in *.py) timeout 600 .venv/bin/python tests/agents/test_task_status_vocabulary.py;; *) timeout 600 bash tests/agents/test_task_status_vocabulary.py;; esac > .claude/workbench/traducir-identificadores-nuevos-20260924T034632/outputs/log-$(echo tests/agents/test_task_status_vocabulary.py | tr / _).txt 2>&1; echo "$? tests/agents/test_task_status_vocabulary.py"
5	:	1790221762.989	     0.059	0	27	0	0	case tests/corpus/test_cfb.py in *.py) timeout 600 .venv/bin/python tests/corpus/test_cfb.py;; *) timeout 600 bash tests/corpus/test_cfb.py;; esac > .claude/workbench/traducir-identificadores-nuevos-20260924T034632/outputs/log-$(echo tests/corpus/test_cfb.py | tr / _).txt 2>&1; echo "$? tests/corpus/test_cfb.py"
2	:	1790221762.906	     0.171	0	39	0	0	case tests/corpus/test_archive_extract.py in *.py) timeout 600 .venv/bin/python tests/corpus/test_archive_extract.py;; *) timeout 600 bash tests/corpus/test_archive_extract.py;; esac > .claude/workbench/traducir-identificadores-nuevos-20260924T034632/outputs/log-$(echo tests/corpus/test_archive_extract.py | tr / _).txt 2>&1; echo "$? tests/corpus/test_archive_extract.py"
4	:	1790221762.914	     0.263	0	34	0	0	case tests/corpus/test_bie_series.py in *.py) timeout 600 .venv/bin/python tests/corpus/test_bie_series.py;; *) timeout 600 bash tests/corpus/test_bie_series.py;; esac > .claude/workbench/traducir-identificadores-nuevos-20260924T034632/outputs/log-$(echo tests/corpus/test_bie_series.py | tr / _).txt 2>&1; echo "$? tests/corpus/test_bie_series.py"
6	:	1790221763.055	     0.178	0	35	0	0	case tests/corpus/test_doc_to_text.py in *.py) timeout 600 .venv/bin/python tests/corpus/test_doc_to_text.py;; *) timeout 600 bash tests/corpus/test_doc_to_text.py;; esac > .claude/workbench/traducir-identificadores-nuevos-20260924T034632/outputs/log-$(echo tests/corpus/test_doc_to_text.py | tr / _).txt 2>&1; echo "$? tests/corpus/test_doc_to_text.py"
9	:	1790221763.238	     0.078	0	29	0	0	case tests/corpus/test_ooxml.py in *.py) timeout 600 .venv/bin/python tests/corpus/test_ooxml.py;; *) timeout 600 bash tests/corpus/test_ooxml.py;; esac > .claude/workbench/traducir-identificadores-nuevos-20260924T034632/outputs/log-$(echo tests/corpus/test_ooxml.py | tr / _).txt 2>&1; echo "$? tests/corpus/test_ooxml.py"
8	:	1790221763.181	     0.187	0	36	0	0	case tests/corpus/test_docx_to_text.py in *.py) timeout 600 .venv/bin/python tests/corpus/test_docx_to_text.py;; *) timeout 600 bash tests/corpus/test_docx_to_text.py;; esac > .claude/workbench/traducir-identificadores-nuevos-20260924T034632/outputs/log-$(echo tests/corpus/test_docx_to_text.py | tr / _).txt 2>&1; echo "$? tests/corpus/test_docx_to_text.py"
7	:	1790221763.083	     0.308	0	35	0	0	case tests/corpus/test_docx_charts.py in *.py) timeout 600 .venv/bin/python tests/corpus/test_docx_charts.py;; *) timeout 600 bash tests/corpus/test_docx_charts.py;; esac > .claude/workbench/traducir-identificadores-nuevos-20260924T034632/outputs/log-$(echo tests/corpus/test_docx_charts.py | tr / _).txt 2>&1; echo "$? tests/corpus/test_docx_charts.py"
11	:	1790221763.373	     0.064	0	35	0	0	case tests/corpus/test_xls_to_text.py in *.py) timeout 600 .venv/bin/python tests/corpus/test_xls_to_text.py;; *) timeout 600 bash tests/corpus/test_xls_to_text.py;; esac > .claude/workbench/traducir-identificadores-nuevos-20260924T034632/outputs/log-$(echo tests/corpus/test_xls_to_text.py | tr / _).txt 2>&1; echo "$? tests/corpus/test_xls_to_text.py"
10	:	1790221763.324	     0.173	0	35	0	0	case tests/corpus/test_term_census.py in *.py) timeout 600 .venv/bin/python tests/corpus/test_term_census.py;; *) timeout 600 bash tests/corpus/test_term_census.py;; esac > .claude/workbench/traducir-identificadores-nuevos-20260924T034632/outputs/log-$(echo tests/corpus/test_term_census.py | tr / _).txt 2>&1; echo "$? tests/corpus/test_term_census.py"
