Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
5	:	1790311349.317	    11.292	0	0	0	0	_headless_item 5 'src/packages/@ant/computer-use-mcp/src/legacy/win32/inputIndicator.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/5.txt'
2	:	1790311349.309	    11.757	0	0	0	0	_headless_item 2 'src/packages/@ant/computer-use-input/src/backends/linux.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/2.txt'
3	:	1790311349.312	    12.510	0	0	0	0	_headless_item 3 'src/packages/@ant/computer-use-input/src/backends/win32.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/3.txt'
7	:	1790311349.325	    13.851	0	0	0	0	_headless_item 7 'src/packages/@ant/computer-use-swift/src/backends/darwin.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/7.txt'
8	:	1790311349.329	    16.285	0	0	0	0	_headless_item 8 'src/packages/@ant/computer-use-swift/src/backends/win32.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/8.txt'
6	:	1790311349.322	    24.069	0	0	0	0	_headless_item 6 'src/packages/@ant/computer-use-mcp/src/legacy/win32/windowMessage.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/6.txt'
10	:	1790311361.071	    13.924	0	0	0	0	_headless_item 10 'src/packages/agent/__tests__/claudeInChromeCommon.test.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/10.txt'
12	:	1790311363.179	    14.598	0	0	0	0	_headless_item 12 'src/packages/agent/effort.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/12.txt'
14	:	1790311373.394	    17.191	0	0	0	0	_headless_item 14 'src/packages/agent/goalStopHook.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/14.txt'
4	:	1790311349.314	    43.863	0	0	0	0	_headless_item 4 'src/packages/@ant/computer-use-mcp/src/legacy/platforms/win32.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/4.txt'
1	:	1790311349.307	    45.406	0	0	0	0	_headless_item 1 'src/packages/@ant/claude-for-chrome-mcp/src/bridgeClient.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/1.txt'
11	:	1790311361.828	    33.444	0	0	0	0	_headless_item 11 'src/packages/agent/claudeInChromeSetupPortable.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/11.txt'
13	:	1790311365.617	    30.135	0	0	0	0	_headless_item 13 'src/packages/agent/featureFlags.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/13.txt'
16	:	1790311377.780	    36.171	0	0	0	0	_headless_item 16 'src/packages/app-host/src/init.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/16.txt'
9	:	1790311360.614	    53.391	0	0	0	0	_headless_item 9 'src/packages/@ant/ink/src/hooks/useSearchInput.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/9.txt'
19	:	1790311394.717	    19.907	0	0	0	0	_headless_item 19 'src/packages/command-runtime/src/commands/plugin/PluginErrors.tsx .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/19.txt'
20	:	1790311395.276	    20.810	0	0	0	0	_headless_item 20 'src/packages/command-runtime/src/commands/review/featureFlags.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/20.txt'
22	:	1790311413.955	    12.265	0	0	0	0	_headless_item 22 'src/packages/config/plugin/gitAvailability.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/22.txt'
18	:	1790311393.181	    34.802	0	0	0	0	_headless_item 18 'src/packages/color-diff-napi/src/index.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/18.txt'
21	:	1790311395.758	    32.856	0	0	0	0	_headless_item 21 'src/packages/config/global/config.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/21.txt'
24	:	1790311414.632	    18.128	0	0	0	0	_headless_item 24 'src/packages/config/plugin/lspPluginIntegration.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/24.txt'
23	:	1790311414.008	    22.411	0	0	0	0	_headless_item 23 'src/packages/config/plugin/installedPluginsManager.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/23.txt'
26	:	1790311426.224	    17.250	0	0	0	0	_headless_item 26 'src/packages/config/plugin/pluginVersioning.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/26.txt'
29	:	1790311432.763	    12.170	0	0	0	0	_headless_item 29 'src/packages/local-observability/src/__tests__/cleanupHelpers.test.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/29.txt'
17	:	1790311390.590	    54.499	0	0	0	0	_headless_item 17 'src/packages/cli/src/headless/sdk/session/run-streaming.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/17.txt'
27	:	1790311427.988	    19.900	0	0	0	0	_headless_item 27 'src/packages/config/plugin/zipCache.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/27.txt'
30	:	1790311436.422	    17.180	0	0	0	0	_headless_item 30 'src/packages/memory/src/teamMemSyncTypes.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/30.txt'
31	:	1790311443.478	    11.291	0	0	0	0	_headless_item 31 'src/packages/output/src/__tests__/safeJoinAndTruncate.test.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/31.txt'
25	:	1790311416.091	    43.519	0	0	0	0	_headless_item 25 'src/packages/config/plugin/nameCollision.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/25.txt'
28	:	1790311428.617	    32.560	0	0	0	0	_headless_item 28 'src/packages/config/plugin/zipCacheAdapters.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/28.txt'
32	:	1790311444.936	    18.187	0	0	0	0	_headless_item 32 'src/packages/provider/src/anthropic/client.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/32.txt'
36	:	1790311454.772	    16.764	0	0	0	0	_headless_item 36 'src/packages/provider/src/proxy.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/36.txt'
38	:	1790311461.181	    12.529	0	0	0	0	_headless_item 38 'src/packages/repl/src/__tests__/relaunch.test.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/38.txt'
34	:	1790311447.891	    29.458	0	0	0	0	_headless_item 34 'src/packages/provider/src/logging.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/34.txt'
33	:	1790311445.092	    36.504	0	0	0	0	_headless_item 33 'src/packages/provider/src/codex/fetchAdapter.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/33.txt'
15	:	1790311374.999	   109.513	0	0	0	0	_headless_item 15 'src/packages/agent/internal/loopDynamicCore.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/15.txt'
41	:	1790311473.715	    10.979	0	0	0	0	_headless_item 41 'src/packages/repl/src/components/LogoV2/Opus1mMergeNotice.tsx .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/41.txt'
37	:	1790311459.614	    32.648	0	0	0	0	_headless_item 37 'src/packages/provider/src/vcr.ts .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/37.txt'
42	:	1790311477.355	    15.279	0	0	0	0	_headless_item 42 'src/packages/repl/src/components/PromptInput/PromptInput.tsx .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/42.txt'
40	:	1790311471.541	    23.446	0	0	0	0	_headless_item 40 'src/packages/repl/src/components/LogoV2/LogoV2.tsx .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/40.txt'
43	:	1790311481.601	    14.780	0	0	0	0	_headless_item 43 'src/packages/repl/src/components/Spinner.tsx .claude/workbench/tsc-zero-loop/run-20260924T175031/step-100/sweep/diag/43.txt'
