1	pattern:optional-host-binding-yielded-without-guard .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/1.txt src/packages/agent/QueryEngine.ts src/packages/agent/query.ts
2	pattern:agent-message-to-message-boundary-cast .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/2.txt src/packages/agent/query.ts
3	pattern:symbol-used-but-missing-from-existing-named-import .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/3.txt src/packages/agent/hooks.ts src/packages/storage/src/sessionStorage.ts
4	pattern:loose-internal-message-shape-assigned-as-api-message-param .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/4.txt src/packages/repl/src/queryHelpers.ts
5	pattern:options-bag-forwarded-to-unrelated-signature .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/5.txt src/packages/app-host/src/runtime/installPluginBindings.ts
6	pattern:callback-param-untyped-via-any-args-wrapper .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/6.txt src/packages/repl/src/commands/color/color.ts
7	pattern:sdk-message-uuid-string-vs-node-uuid-template .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/7.txt src/packages/cli/src/headless/sdk/session/run-streaming.ts
8	pattern:narrow-schema-field-cast-via-record-unknown .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/8.txt src/packages/app-host/src/runtime/installPluginBindings.ts src/packages/app-host/src/runtime/runtimeHandles.ts src/packages/provider/src/openai/streamAdapter.ts src/packages/repl/src/queryHelpers.ts
9	pattern:explicit-callback-param-type-mismatch .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/9.txt src/packages/agent/QueryEngine.ts src/packages/app-host/src/runtime/commandRegistryRuntime.ts
10	pattern:optional-property-access-unguarded-across-union-case-fallthrough .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/10.txt src/packages/agent/query.ts src/packages/agent/sessionTools/analyzeContext.ts src/packages/cli/src/headless/sdk/session/run-streaming.ts src/packages/config/plugin/orphanedPluginFilter.ts src/packages/repl/src/components/Message.tsx src/packages/repl/src/components/StatusLine.tsx src/packages/repl/src/components/messages/AttachmentMessage.tsx src/packages/tool-registry/src/tools/AgentTool/builtInAgents.ts
11	pattern:lodash-last-on-union-content .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/11.txt src/packages/agent/QueryEngine.ts
12	pattern:standalone-agent-context-color-string-vs-literal-union .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/12.txt src/packages/repl/src/screens/REPLView.tsx
13	pattern:unknown-stub-context-param-in-cross-package-bridge .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/13.txt src/packages/repl/src/screens/REPLView.tsx
14	pattern:stale-prop-not-in-narrowed-component-props .claude/workbench/tsc-zero-loop/run-20260924T175031/step-159/items/14.txt src/packages/repl/src/screens/REPLView.tsx
