ruta	ejes	fragmentos	lineas_codigo	capitulos	importado_desde
restored-src/src/QueryEngine.ts	MENCION	0	0	-	-
restored-src/src/Tool.ts	FRAGMENTO+MENCION	1	16	part7/ch25.md	-
restored-src/src/assistant/gate.js	IMPORT_SUELTO	0	0	-	restored-src/src/(contenedor asumido)
restored-src/src/assistant/index.js	IMPORT+IMPORT_SUELTO	0	0	-	restored-src/src/(contenedor asumido),restored-src/src/main.tsx
restored-src/src/bootstrap/state.ts	FRAGMENTO+RELATIVO+MENCION	2	17	part1/ch04b.md,part4/ch13.md	-
restored-src/src/bridge/bridgeEnabled.ts	RELATIVO	1	7	part6/ch23.md	-
restored-src/src/bridge/bridgePermissionCallbacks.ts	FRAGMENTO+MENCION	1	6	part6/ch20.md	-
restored-src/src/built-in/verificationAgent.ts	RELATIVO	1	7	part6/ch20.md	-
restored-src/src/commands.ts	RELATIVO+MENCION	1	13	part6/ch23.md	-
restored-src/src/commands/commit.ts	MENCION	0	0	-	-
restored-src/src/commands/createMovedToPluginCommand.ts	FRAGMENTO+MENCION	1	16	part6/ch22b.md	-
restored-src/src/commands/logout/logout.tsx	MENCION	0	0	-	-
restored-src/src/commands/plan/plan.tsx	FRAGMENTO+MENCION	1	28	part1/ch04b.md	-
restored-src/src/commands/plugin/PluginTrustWarning.tsx	FRAGMENTO+MENCION	1	1	part6/ch22b.md	-
restored-src/src/commands/sandbox-toggle/sandbox-toggle.tsx	FRAGMENTO+MENCION	2	10	part5/ch18b.md	-
restored-src/src/constants/common.ts	RELATIVO	4	25	part4/ch15.md	-
restored-src/src/constants/cyberRiskInstruction.ts	FRAGMENTO+MENCION	1	9	part5/ch17b.md	-
restored-src/src/constants/oauth.ts	FRAGMENTO+MENCION	1	2	appendix/g-auth-subscription.md	-
restored-src/src/constants/prompts.ts	FRAGMENTO+MENCION	9	54	part5/ch17b.md,part7/ch25.md,part7/ch27.md,part7/ch28.md	-
restored-src/src/constants/systemPromptSections.ts	FRAGMENTO+MENCION	2	13	part7/ch30.md	-
restored-src/src/constants/toolLimits.ts	FRAGMENTO+RELATIVO+MENCION	3	15	part3/ch12.md,part7/ch26.md,part7/ch30.md	-
restored-src/src/coordinator/coordinatorMode.js	IMPORT	0	0	-	restored-src/src/main.tsx
restored-src/src/coordinator/coordinatorMode.ts	RELATIVO	1	6	part6/ch20.md	-
restored-src/src/cost-tracker.ts	FRAGMENTO+MENCION	1	10	part7/ch29.md	-
restored-src/src/dream.js	IMPORT_SUELTO	0	0	-	restored-src/src/(contenedor asumido)
restored-src/src/entrypoints/sandboxTypes.ts	FRAGMENTO+MENCION	5	36	part5/ch18b.md	-
restored-src/src/hooks/useCancelRequest.ts	MENCION	0	0	-	-
restored-src/src/hooks/useInboxPoller.ts	MENCION	0	0	-	-
restored-src/src/main.tsx	FRAGMENTO+RELATIVO+MENCION	4	25	part1/ch01.md,part6/ch23.md	-
restored-src/src/memdir/memdir.ts	FRAGMENTO+MENCION	1	3	part6/ch24.md	-
restored-src/src/memdir/memoryScan.ts	FRAGMENTO+MENCION	1	2	part6/ch24.md	-
restored-src/src/memdir/paths.ts	FRAGMENTO+MENCION	2	19	part6/ch24.md	-
restored-src/src/path/file.ts	MENCION	0	0	-	-
restored-src/src/query.ts	MENCION	0	0	-	-
restored-src/src/query/stopHooks.ts	FRAGMENTO+MENCION	1	13	part6/ch24.md	-
restored-src/src/schemas/hooks.ts	RELATIVO	4	38	part5/ch18.md	-
restored-src/src/screens/REPL.tsx	MENCION	0	0	-	-
restored-src/src/services/SessionMemory/sessionMemoryUtils.ts	FRAGMENTO+MENCION	1	5	part6/ch24.md	-
